Province,District,ConstituencyNumber,ConstituencyName,CandidateName,Party,Symbol
CENTRAL,CHIBOMBO,001,KATUBA,CHILANDO Moses M,NRPUP,A Lamp
CENTRAL,CHIBOMBO,001,KATUBA,KAPALASA Bampi A,IND,Spoon
CENTRAL,CHIBOMBO,001,KATUBA,MWACHIKOKA Jackson C,IND,Borehole
CENTRAL,CHIBOMBO,001,KATUBA,NKULUKUSA Mwabashike,UPND,Palm with raised thumb
CENTRAL,CHIBOMBO,001,KATUBA,SIMULYAMPONDO Mweemba,IND,Whistle
CENTRAL,CHIBOMBO,002,KEEMBE EAST,CHIMINSA Emmanuel,UPND,Palm with raised thumb
CENTRAL,CHIBOMBO,002,KEEMBE EAST,MAPUSHI Alex C,IND,Radio
CENTRAL,CHIBOMBO,002,KEEMBE EAST,MWENGE Christopher,NRPUP,A Lamp
CENTRAL,CHIBOMBO,157,KEEMBE WEST,KASUNE Princess,UPND,Palm with raised thumb
CENTRAL,CHISAMBA,003,CHISAMBA,CHOWA Martin,UPND,Palm with raised thumb
CENTRAL,CHISAMBA,003,CHISAMBA,MVULA Griffith M,SP,A Crossed Shovel and Axe
CENTRAL,CHISAMBA,003,CHISAMBA,NKONDE Stephen M,NRPUP,A Lamp
CENTRAL,CHISAMBA,158,MWOMBOSHI,BANDA Daniel M,NRPUP,A Lamp
CENTRAL,CHISAMBA,158,MWOMBOSHI,CHIBANGA Joseph,SP,A Crossed Shovel and Axe
CENTRAL,CHISAMBA,158,MWOMBOSHI,KASANDA Chushi C,UPND,Palm with raised thumb
CENTRAL,CHISAMBA,158,MWOMBOSHI,MALAMBO Justine,UPPZ,"A graduation cap, cabbage and two ca..."
CENTRAL,CHITAMBO,004,CHITAMBO,KABANDA Nelson C,NRPUP,A Lamp
CENTRAL,CHITAMBO,004,CHITAMBO,MUTALE Remember,UPND,Palm with raised thumb
CENTRAL,KABWE,006,BWACHA NORTH,CHATO Percy K,UPND,Palm with raised thumb
CENTRAL,KABWE,006,BWACHA NORTH,CHILESHE Prince,IND,Candle
CENTRAL,KABWE,006,BWACHA NORTH,MUNDU Emmanuel E,IND,Borehole
CENTRAL,KABWE,006,BWACHA NORTH,NSOFWA Gabriel B,CF,Big Tree
CENTRAL,KABWE,006,BWACHA NORTH,NYIRONGO Walinase,NRPUP,A Lamp
CENTRAL,KABWE,007,KABWE CENTRAL,BWALYA Chilufya,IND,Steering wheel
CENTRAL,KABWE,007,KABWE CENTRAL,CHISHALA Patrick B,NRPUP,A Lamp
CENTRAL,KABWE,007,KABWE CENTRAL,HALWIINDI Chrizoster P,UPND,Palm with raised thumb
CENTRAL,KABWE,007,KABWE CENTRAL,YALUMA Dorothy F,CF,Big Tree
CENTRAL,KABWE,159,BWACHA SOUTH,KOLALA Victor,NRPUP,A Lamp
CENTRAL,KABWE,159,BWACHA SOUTH,MUSHANGA Sydney,UPND,Palm with raised thumb
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,CHISENGA Victor,CF,Big Tree
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,KANGWA Godfrey C,NRPUP,A Lamp
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,LUNGU Hellen,SP,A Crossed Shovel and Axe
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,MATUTU Davison,UPND,Palm with raised thumb
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,MULENGA Blessed B,IND,Steering wheel
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,MWAMBA Gerald,IND,Plate
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,SIAME Fred J,RP,An Orange Sack Bag
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,SIINGWA Chrispin M,IND,Borehole
CENTRAL,KAPIRI MPOSHI,008,KAPIRI MPOSHI EAST,SIMWANZA Ronald,IND,Whistle
CENTRAL,KAPIRI MPOSHI,160,KAPIRI MPOSHI WEST,KAKUBO Stanley K,UPND,Palm with raised thumb
CENTRAL,KAPIRI MPOSHI,160,KAPIRI MPOSHI WEST,MUBANGA Bellington,NRPUP,A Lamp
CENTRAL,KAPIRI MPOSHI,160,KAPIRI MPOSHI WEST,MUYOWE Kelvin,IND,Borehole
CENTRAL,KAPIRI MPOSHI,160,KAPIRI MPOSHI WEST,NKAUSU Jacqueline N,IND,Spoon
CENTRAL,LUANO,009,LUANO,CHIBUYE Christopher,UPND,Palm with raised thumb
CENTRAL,LUANO,009,LUANO,CHIMASHI Joseph,IND,Candle
CENTRAL,LUANO,009,LUANO,CHISOPA Davies,NRPUP,A Lamp
CENTRAL,LUANO,009,LUANO,KAMANGA Alick,IND,Traditional Drum
CENTRAL,LUANO,009,LUANO,MWITWA Andrew,IND,Whistle
CENTRAL,MKUSHI,010,MKUSHI NORTH,KUNDA Topson P,UPND,Palm with raised thumb
CENTRAL,MKUSHI,010,MKUSHI NORTH,NYIRENDA Mabvuto,NRPUP,A Lamp
CENTRAL,MKUSHI,161,MKUSHI SOUTH,CHANGWE Lucy S,IND,Plate
CENTRAL,MKUSHI,161,MKUSHI SOUTH,CHISANGA Sydney,UPND,Palm with raised thumb
CENTRAL,MKUSHI,161,MKUSHI SOUTH,MWELWA Lawrence,NRPUP,A Lamp
CENTRAL,MKUSHI,161,MKUSHI SOUTH,SICHONE Frank,CF,Big Tree
CENTRAL,MUMBWA,011,MUMBWA CENTRAL,CHISUKU Clarence,UPND,Palm with raised thumb
CENTRAL,MUMBWA,011,MUMBWA CENTRAL,MALINDIMA John M,IND,Candle
CENTRAL,MUMBWA,012,NANGOMA,CHIBOLELA Albertina,NRPUP,A Lamp
CENTRAL,MUMBWA,012,NANGOMA,HAMUSONDE Boyd,IND,Spoon
CENTRAL,MUMBWA,012,NANGOMA,NJOBO Misheck S,SP,A Crossed Shovel and Axe
CENTRAL,MUMBWA,012,NANGOMA,NZOVU Collins,UPND,Palm with raised thumb
CENTRAL,MUMBWA,162,MUMBWA WEST,CHILONDA Stellah B,UPND,Palm with raised thumb
CENTRAL,MUMBWA,162,MUMBWA WEST,MWIINGA Lemmy,IND,Borehole
CENTRAL,MUMBWA,162,MUMBWA WEST,SAKALA Ospray,NRPUP,A Lamp
CENTRAL,NGABWE,013,LUFUBU,CHITAILA Lewis,UPND,Palm with raised thumb
CENTRAL,NGABWE,013,LUFUBU,CHIYALIKA Gift,NRPUP,A Lamp
CENTRAL,NGABWE,013,LUFUBU,VWALIKA Osward,IND,Borehole
CENTRAL,SERENJE,014,LUKUSASHI,CHUNGA Eddie M,IND,Spoon
CENTRAL,SERENJE,014,LUKUSASHI,KASONDE Chester N,NRPUP,A Lamp
CENTRAL,SERENJE,014,LUKUSASHI,MPYAKULA Andrew,UPND,Palm with raised thumb
CENTRAL,SERENJE,015,SERENJE,CHIBALE Hebban,NRPUP,A Lamp
CENTRAL,SERENJE,015,SERENJE,KANDAFULA George K,IND,Plate
CENTRAL,SERENJE,015,SERENJE,KATOMBI Friday,UPND,Palm with raised thumb
CENTRAL,SERENJE,015,SERENJE,LONGWE Horace,SP,A Crossed Shovel and Axe
CENTRAL,SERENJE,015,SERENJE,MASHAWA Aubrey,CF,Big Tree
CENTRAL,SERENJE,015,SERENJE,MULUMBA Staivous,IND,Borehole
CENTRAL,SERENJE,163,NKUNDALILA,BANDA Emmanuel,UPND,Palm with raised thumb
CENTRAL,SERENJE,163,NKUNDALILA,BANGWE Chisenga N,CF,Big Tree
CENTRAL,SERENJE,163,NKUNDALILA,CHITUPILA Timothy,IND,Plate
CENTRAL,SERENJE,163,NKUNDALILA,MWAPE Spencer,NRPUP,A Lamp
CENTRAL,SHIBUYUNJI,084,MWEMBEZHI EAST,MWAMBA Ibrahim K,IND,Steering wheel
CENTRAL,SHIBUYUNJI,084,MWEMBEZHI EAST,SHIKABWALI Ferd,UPND,Palm with raised thumb
CENTRAL,SHIBUYUNJI,164,MWEMBEZHI WEST,MILAMBO Austin C,UPND,Palm with raised thumb
CENTRAL,SHIBUYUNJI,164,MWEMBEZHI WEST,MUNANGAGWA Bernard,IND,Borehole
COPPERBELT,CHILILABOMBWE,016,CHILILABOMBWE,KABUSWE Paul C,UPND,Palm with raised thumb
COPPERBELT,CHILILABOMBWE,016,CHILILABOMBWE,LUPELE Nsofwa K,RP,An Orange Sack Bag
COPPERBELT,CHILILABOMBWE,016,CHILILABOMBWE,MWELWA Moses,IND,Borehole
COPPERBELT,CHILILABOMBWE,016,CHILILABOMBWE,NGWIRA Lottie,CF,Big Tree
COPPERBELT,CHILILABOMBWE,016,CHILILABOMBWE,SIMPAMBA Abraham,IND,Steering wheel
COPPERBELT,CHILILABOMBWE,165,KONKOLA,CHISHA Haggai,SP,A Crossed Shovel and Axe
COPPERBELT,CHILILABOMBWE,165,KONKOLA,NGOSA Roy,IND,Borehole
COPPERBELT,CHILILABOMBWE,165,KONKOLA,SICHONE Lucky,UPND,Palm with raised thumb
COPPERBELT,CHILILABOMBWE,165,KONKOLA,SIKOMBE Benjamin,IND,Candle
COPPERBELT,CHILILABOMBWE,165,KONKOLA,SIMWANDA Spolian,RP,An Orange Sack Bag
COPPERBELT,CHINGOLA,017,CHINGOLA CENTRAL,KAZHILA Joseph,UPND,Palm with raised thumb
COPPERBELT,CHINGOLA,017,CHINGOLA CENTRAL,PHIRI Michelle,NRPUP,A Lamp
COPPERBELT,CHINGOLA,018,NCHANGA,AKASHAMBATWA Franchescar,UPND,Palm with raised thumb
COPPERBELT,CHINGOLA,018,NCHANGA,CHIPOYA Rosemary R,NRPUP,A Lamp
COPPERBELT,CHINGOLA,018,NCHANGA,KAIRA Mulaza,IND,Scissors
COPPERBELT,CHINGOLA,018,NCHANGA,NKONDE Paul,CF,Big Tree
COPPERBELT,CHINGOLA,166,CHINGOLA WEST,CHANSA Borris T,NRPUP,A Lamp
