Province,District,CandidateName,Party,Symbol
Central,Chibombo,Kachingwe Chilufya,IND,Traditional Drum
Central,Chibombo,Mayembe Isaiah,NRPUP,A Lamp
Central,Chibombo,Ntalasha James,IND,Scissors
Central,Chibombo,Nyeleti Newton,UPND,Palm with raised thumb
Central,Chisamba,Hang'ombe Ignatius A,UPND,Palm with raised thumb
Central,Chisamba,Zulu Francis J,NRPUP,A Lamp
Central,Chitambo,Kanguya Dylan,NRPUP,A Lamp
Central,Chitambo,Kunda Chembe,IND,Steering wheel
Central,Chitambo,Mwelwa Brian,UPND,Palm with raised thumb
Central,Kabwe,Chibwana Saidi,IND,Plate
Central,Kabwe,Domingo Gary S,UPND,Palm with raised thumb
Central,Kabwe,Musonda Fanwell M,CF,Big Tree
Central,Kabwe,Pondamali Wilson,NRPUP,A Lamp
Central,Kapiri Mposhi,Kamamba Mute,IND,Cell Battery
Central,Kapiri Mposhi,Munyeke Brilliant,UPND,Palm with raised thumb
Central,Kapiri Mposhi,Ngosa Obet,RP,An Orange Sack Bag
Central,Kapiri Mposhi,Nkolola Brian M,NRPUP,A Lamp
Central,Luano,Ngulube Astone C,NRPUP,A Lamp
Central,Luano,Sakala Frank,UPND,Palm with raised thumb
Central,Mkushi,Bwalya Evans,NRPUP,A Lamp
Central,Mkushi,Chanda Lewis,SP,A Crossed Shovel and Axe
Central,Mkushi,Kasonteka Remy M,UPND,Palm with raised thumb
Central,Mumbwa,Hamoonga Clever N,IND,Borehole
Central,Mumbwa,Hangoma Jimmy,IND,Steering wheel
Central,Mumbwa,Masumo Charlie M,UPND,Palm with raised thumb
Central,Mumbwa,Mweete Francis,IND,Whistle
Central,Ngabwe,Kalebuka Borden,UPND,Palm with raised thumb
Central,Ngabwe,Pensulu Vitus B,NRPUP,A Lamp
Central,Ngabwe,Soda Reagan C,IND,Traditional Drum
Central,Ngabwe,Tembo Masautso,IND,Spoon
Central,Serenje,Ikona Dorris S,NRPUP,A Lamp
Central,Serenje,Munshya Patrick,UPND,Palm with raised thumb
Central,Serenje,Ntembwa Jeliaty,SP,A Crossed Shovel and Axe
Central,Serenje,Yamba Brighton M,CF,Big Tree
Central,Shibuyunji,Mutumba Dennis K,IND,Whistle
Central,Shibuyunji,Shimukonka Macmillan,UPND,Palm with raised thumb
Copperbelt,Chililabombwe,Chungu Wesley C,SP,A Crossed Shovel and Axe
Copperbelt,Chililabombwe,Daka Jane,RP,An Orange Sack Bag
Copperbelt,Chililabombwe,Mpepo Lydia M,IND,Plate
Copperbelt,Chililabombwe,Nawa Kanengu,UPND,Palm with raised thumb
Copperbelt,Chililabombwe,Nsofwa Kangwa L,IND,Candle
Copperbelt,Chingola,Chileshe Dorothy C,IND,Window
Copperbelt,Chingola,Kabamba Albert,IND,Borehole
Copperbelt,Chingola,Makomelo Frankson,IND,Spoon
Copperbelt,Chingola,Mambo Romana,UPND,Palm with raised thumb
Copperbelt,Chingola,Mpundu Andy,IND,Scissors
Copperbelt,Chingola,Mulimba Yaki,CF,Big Tree
Copperbelt,Chingola,Mumba Nelius,NRPUP,A Lamp
Copperbelt,Chingola,Musonda Charles,RP,An Orange Sack Bag
Copperbelt,Chingola,Phiri Elizabeth,IND,Steering wheel
Copperbelt,Kalulushi,Bwembya Maybin,CF,Big Tree
Copperbelt,Kalulushi,Chikwanda Martin S,SP,A Crossed Shovel and Axe
Copperbelt,Kalulushi,Chivunda Paul,NRPUP,A Lamp
Copperbelt,Kalulushi,Kahembi Joseph,IND,Plate
Copperbelt,Kalulushi,Kandudi Gideon,UPND,Palm with raised thumb
Copperbelt,Kalulushi,Mubanga Bruce,IND,Borehole
Copperbelt,Kalulushi,Mwalilino Evaristo M,IND,Spoon
Copperbelt,Kalulushi,Zimba Teddy M,IND,Candle
Copperbelt,Kitwe,Chansa Collins,RP,An Orange Sack Bag
Copperbelt,Kitwe,Jayetileke Anthony,IND,Traditional Drum
Copperbelt,Kitwe,Kabwita Charles,NRPUP,A Lamp
Copperbelt,Kitwe,Kalumba Gift M,CF,Big Tree
Copperbelt,Kitwe,Mulala Mubanga,SP,A Crossed Shovel and Axe
Copperbelt,Kitwe,Mutambo Dickson Y,IND,Whistle
Copperbelt,Kitwe,Ng'andu Abel,UPND,Palm with raised thumb
Copperbelt,Luanshya,Chakulya Mulenga,RP,An Orange Sack Bag
