PROVINCE: CENTRAL

DISTRICT: CHIBOMBO | Voters: 103,100
  CONSTITUENCY: KATUBA | Voters: 53,970
    WARD: KAMAILA (000101001001) | Voters: 2,734
    WARD: KATUBA (000101001002) | Voters: 9,695
    WARD: CHUNGA (000101001003) | Voters: 17,797
    WARD: MUNGULE (000101001004) | Voters: 7,495
    WARD: CHOLOKELO (000101001005) | Voters: 4,858
    WARD: MUCHENJE (000101001006) | Voters: 4,633
    WARD: CHILOCHABALENJE (000101001007) | Voters: 3,111
    WARD: KABILE (000101001008) | Voters: 3,647
  CONSTITUENCY: KEEMBE | Voters: 49,130
    WARD: KEEMBE (000101001009) | Voters: 3,939
    WARD: KALOLA (000101001010) | Voters: 3,364
    WARD: CHALOSHI (000101001011) | Voters: 5,199
    WARD: CHIBOMBO (000101001012) | Voters: 6,910
    WARD: CHIKOBO (000101001013) | Voters: 4,274
    WARD: KAKOMA (000101001014) | Voters: 4,222
    WARD: MASHIKILI (000101001015) | Voters: 5,692
    WARD: MALAMBANYAMA (000101001016) | Voters: 3,715
    WARD: LUNJOFWA (000101001017) | Voters: 2,952
    WARD: CHITANDA (000101001018) | Voters: 3,885
    WARD: MUUNDU (000101001019) | Voters: 2,570
    WARD: IPONGO (000101001020) | Voters: 1,382
    WARD: ITUMBWE (000101001021) | Voters: 1,026

DISTRICT: CHISAMBA | Voters: 41,316
  CONSTITUENCY: CHISAMBA | Voters: 41,316
    WARD: LITETA (000101002001) | Voters: 5,133
    WARD: MONANG'OMBE (000101002002) | Voters: 2,388
    WARD: MUTENGA (000101002003) | Voters: 4,918
    WARD: CHIKONKOMENE (000101002004) | Voters: 2,754
    WARD: MUSWISHI (000101002005) | Voters: 4,789
    WARD: MULUNGUSHI (000101002006) | Voters: 2,516
    WARD: MWANTAYA (000101002007) | Voters: 1,186
    WARD: MWAPULA (000101002008) | Voters: 3,526
    WARD: CHAMUKA (000101002009) | Voters: 3,381
    WARD: KAMANO (000101002010) | Voters: 2,156
    WARD: CHISAMBA (000101002011) | Voters: 6,995
    WARD: MISWA (000101002012) | Voters: 1,574

DISTRICT: CHITAMBO | Voters: 26,587
  CONSTITUENCY: CHITAMBO | Voters: 26,587
    WARD: LUOMBWA (000101003001) | Voters: 954
    WARD: KATONGA (000101003002) | Voters: 2,810
    WARD: LULIMALA (000101003003) | Voters: 1,897
    WARD: MPELEMBE (000101003004) | Voters: 3,198
    WARD: CHIPUNDU (000101003005) | Voters: 2,480
    WARD: CHALILO (000101003006) | Voters: 2,482
    WARD: LUSENGA (000101003007) | Voters: 3,029
    WARD: MUCHINKA (000101003008) | Voters: 4,419
    WARD: CHITAMBO (000101003009) | Voters: 3,587
    WARD: NAKATAMBO (000101003010) | Voters: 1,731

DISTRICT: KABWE | Voters: 119,938
  CONSTITUENCY: BWACHA | Voters: 52,260
    WARD: KANG'OMBA (000101005001) | Voters: 2,466
    WARD: CHINYANJA (000101005002) | Voters: 1,891
    WARD: MUNYAMA (000101005003) | Voters: 1,401
    WARD: MUNGA (000101005004) | Voters: 3,202
    WARD: CHILILALILA (000101005005) | Voters: 4,686
    WARD: MOOMBA (000101005006) | Voters: 3,824
    WARD: ZAMBEZI (000101005007) | Voters: 2,619
    WARD: MAKULULU (000101005008) | Voters: 5,107
    WARD: BEN KAPUFI (000101005009) | Voters: 3,053
    WARD: MUWOWO WEST (000101005010) | Voters: 1,187
    WARD: MUWOWO EAST (000101005011) | Voters: 4,867
    WARD: NGUNGU (000101005012) | Voters: 3,296
    WARD: CHIMANIMANI (000101005013) | Voters: 2,842
    WARD: BWACHA (000101005014) | Voters: 6,103
    WARD: KAWAMA (000101005015) | Voters: 5,716
  CONSTITUENCY: KABWE CENTRAL | Voters: 67,678
    WARD: LUANGWA (000101005016) | Voters: 2,430
    WARD: LUKANGA (000101005017) | Voters: 3,977
    WARD: KALONGA (000101005018) | Voters: 7,678
    WARD: NAKOLI (000101005019) | Voters: 5,688
    WARD: KAPUTULA (000101005020) | Voters: 6,493
    WARD: MPIMA (000101005021) | Voters: 5,420
    WARD: LUANSASE (000101005022) | Voters: 6,329
    WARD: WAYA (000101005023) | Voters: 3,877
    WARD: KATONDO (000101005024) | Voters: 5,143
    WARD: CHIRWA (000101005025) | Voters: 3,787
    WARD: NJANJI (000101005026) | Voters: 2,814
    WARD: HIGHRIDGE (000101005027) | Voters: 6,054
    WARD: JUSTINE KABWE (000101005028) | Voters: 4,011
    WARD: DAVID RAMUSHU (000101005029) | Voters: 3,977

DISTRICT: KAPIRI MPOSHI | Voters: 95,098
  CONSTITUENCY: KAPIRI MPOSHI | Voters: 95,098
    WARD: KASHITU (000101006001) | Voters: 5,127
    WARD: KASANTA (000101006002) | Voters: 1,705
    WARD: MUSHIMBILI (000101006003) | Voters: 4,420
    WARD: KAPIRI MPOSHI (000101006004) | Voters: 29,997
    WARD: MUTETESHI (000101006005) | Voters: 2,899
    WARD: LUNCHU (000101006006) | Voters: 3,293
    WARD: LUNSEMFWA (000101006007) | Voters: 2,327
    WARD: CHANG'ONDO (000101006008) | Voters: 3,280
    WARD: KAKWELESA (000101006009) | Voters: 4,781
    WARD: MUBOFWE (000101006010) | Voters: 2,979
    WARD: KAMPUMBA (000101006011) | Voters: 2,535
    WARD: NCHEMBWE (000101006012) | Voters: 4,036
    WARD: CHIBWELELO (000101006013) | Voters: 3,699
    WARD: KABWALE (000101006014) | Voters: 3,897
    WARD: IMANSA (000101006015) | Voters: 3,050
    WARD: LUKANGA (000101006016) | Voters: 3,584
    WARD: MPUNDE (000101006017) | Voters: 4,772
    WARD: MUNGA (000101006018) | Voters: 3,945

DISTRICT: LUANO | Voters: 22,792
  CONSTITUENCY: MKUSHI SOUTH | Voters: 22,792
    WARD: MIBANGA (000101007001) | Voters: 3,315
    WARD: MUNDA (000101007002) | Voters: 5,285
    WARD: KATUKUTU (000101007003) | Voters: 4,045
    WARD: LWAMBULU (000101007004) | Voters: 1,930
    WARD: KAMIMBYA (000101007005) | Voters: 2,076
    WARD: LUNDASHI (000101007006) | Voters: 707
    WARD: NKOMASHI (000101007007) | Voters: 1,891
    WARD: MUSWISHI (000101007008) | Voters: 1,004
    WARD: CHING'OMBE (000101007009) | Voters: 1,227
    WARD: CHIPABA (000101007010) | Voters: 456
    WARD: MWALALA (000101007011) | Voters: 380
    WARD: CHIMIKA (000101007012) | Voters: 476

DISTRICT: MKUSHI | Voters: 56,400
  CONSTITUENCY: MKUSHI NORTH | Voters: 56,400
    WARD: CHITINA (000101008001) | Voters: 4,802
    WARD: NKUMBI (000101008002) | Voters: 2,586
    WARD: MUSOFU (000101008003) | Voters: 1,781
    WARD: MUNSAKAMBA (000101008004) | Voters: 2,476
    WARD: CHIBEFWE (000101008005) | Voters: 17,537
    WARD: UPPER LUNSENFWA (000101008006) | Voters: 1,662
    WARD: NKOLONGA (000101008007) | Voters: 3,594
    WARD: CHALATA (000101008008) | Voters: 3,491
    WARD: KABENGEESHI (000101008009) | Voters: 1,666
    WARD: NSHINSO (000101008010) | Voters: 1,282
    WARD: KALWA (000101008011) | Voters: 1,502
    WARD: NKULUMASHIBA (000101008012) | Voters: 2,171
    WARD: CHIKANDA (000101008013) | Voters: 3,359
    WARD: MATUKU (000101008014) | Voters: 4,057
    WARD: TEMBWE (000101008015) | Voters: 1,867
    WARD: MUNSHIBEMBA (000101008016) | Voters: 2,567

DISTRICT: MUMBWA | Voters: 77,443
  CONSTITUENCY: MUMBWA | Voters: 49,051
    WARD: NALUSANGA (000101009001) | Voters: 7,185
    WARD: LUTALE (000101009002) | Voters: 1,575
    WARD: CHIBOLYO (000101009003) | Voters: 3,854
    WARD: NAMBALA (000101009004) | Voters: 3,015
    WARD: SHIMBIZHI (000101009005) | Voters: 2,386
    WARD: NALUVWI (000101009006) | Voters: 1,688
    WARD: KALWANYEMBE (000101009007) | Voters: 2,585
    WARD: MPUSU (000101009008) | Voters: 2,007
    WARD: KAMILAMBO (000101009009) | Voters: 2,266
    WARD: MUMBA (000101009010) | Voters: 3,936
    WARD: MUPONA (000101009011) | Voters: 15,748
    WARD: MAKEBO (000101009012) | Voters: 2,806
  CONSTITUENCY: NANGOMA | Voters: 28,392
    WARD: NAKASAKA (000101009013) | Voters: 4,058
    WARD: MATALA (000101009014) | Voters: 2,611
    WARD: NANGOMA (000101009015) | Voters: 4,678
    WARD: CHISALU (000101009016) | Voters: 3,174
    WARD: KEEZWA (000101009017) | Voters: 2,038
    WARD: CHOMA (000101009018) | Voters: 1,877
    WARD: NALUBANDA (000101009019) | Voters: 3,067
    WARD: SHICHANZU (000101009020) | Voters: 1,842
    WARD: MYOOYE (000101009021) | Voters: 3,009

DISTRICT: NGABWE | Voters: 11,440
  CONSTITUENCY: LUFUBU | Voters: 11,440
    WARD: NGABWE (000101010001) | Voters: 976
    WARD: LUAMALA (000101010002) | Voters: 822
    WARD: CHISANGWA (000101010003) | Voters: 1,096
    WARD: IWONDE (000101010004) | Voters: 1,812
    WARD: CHITUMBA (000101010005) | Voters: 1,116
    WARD: CHILWA (000101010006) | Voters: 842
    WARD: MUKUBWE (000101010007) | Voters: 2,868
    WARD: CHISANGA (000101010008) | Voters: 1,908

DISTRICT: SERENJE | Voters: 49,959
  CONSTITUENCY: MUCHINGA | Voters: 20,255
    WARD: MWESHE (000101011001) | Voters: 819
    WARD: KANONA (000101011002) | Voters: 2,505
    WARD: MAILO (000101011003) | Voters: 1,434
    WARD: LUSHIBASHI (000101011004) | Voters: 1,092
    WARD: SERENJE (000101011005) | Voters: 2,054
    WARD: KABANSA (000101011006) | Voters: 297
    WARD: CHISOMO (000101011007) | Voters: 1,453
    WARD: LUKUSASHI (000101011008) | Voters: 1,178
    WARD: SANCHA (000101011009) | Voters: 1,241
    WARD: CHIBALE (000101011010) | Voters: 3,327
    WARD: KABWE KUPELA (000101011011) | Voters: 1,478
    WARD: MASANINGA (000101011012) | Voters: 3,377
  CONSTITUENCY: SERENJE | Voters: 29,704
    WARD: MUCHINDA (000101011013) | Voters: 4,961
    WARD: MUSANGASHI (000101011014) | Voters: 1,179
    WARD: KASHISHI (000101011015) | Voters: 2,748
    WARD: LUPIYA (000101011016) | Voters: 2,554
    WARD: MILENJE (000101011017) | Voters: 1,107
    WARD: IBOLELO (000101011018) | Voters: 10,791
    WARD: CHISANGWA (000101011019) | Voters: 2,577
    WARD: MBASWA (000101011020) | Voters: 1,365
    WARD: KABAMBA (000101011021) | Voters: 2,422

DISTRICT: SHIBUYUNJI | Voters: 35,006
  CONSTITUENCY: MWEMBEZHI | Voters: 35,006
    WARD: KAPYANGA WEST (000101012001) | Voters: 2,939
    WARD: KAPYANGA EAST (000101012002) | Voters: 2,012
    WARD: MUKULAIKWA (000101012003) | Voters: 2,778
    WARD: MUTOMBE (000101012004) | Voters: 1,742
