District,Constituency,Ward_Code,Ward,Polling_District_Code,Polling_District,Polling_Station,Male,Female,Pct_Male,Pct_Female,Total_Voters
CHISAMBA,CHISAMBA,000101002007,MWANTAYA,101002003901,KATETE - 1,Mapulanga Community School-01,216,236,47.79,52.21,452
CHISAMBA,CHISAMBA,000101002007,MWANTAYA,101002004001,MWANTAYA - 1,Mwantaya Primary School-01,357,446,44.46,55.54,803
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004101,NYANKANGA - 1,Nyankanga Primary School-01,197,234,45.71,54.29,431
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004201,KAMINEMBE - 1,Kaminembe Primary School-01,178,161,52.51,47.49,339
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004301,MWAPULA - 1,Mwapula Primary School-01,420,458,47.84,52.16,878
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004401,MUPELEKESE - 1,Mupelekese Primary School-01,262,326,44.56,55.44,588
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004402,MUPELEKESE - 2,Mupelekese Primary School-02,266,321,45.32,54.68,587
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004501,KANAKANTAPA - 1,Kanakantapa Primary School-01,302,298,50.33,49.67,600
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004601,KACHANGWA - 1,Kachangwa Primary School-01,272,300,47.55,52.45,572
CHISAMBA,CHISAMBA,000101002008,MWAPULA,101002004701,CHIPILEPILE - 1,Chipilepile Primary School-01,248,303,45.01,54.99,551
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002004801,KAPUTI - 1,Kaputi Primary School-01,310,319,49.28,50.72,629
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002004802,KAPUTI - 2,Kaputi Primary School-02,304,325,48.33,51.67,629
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002004901,CHIPEMBI - 1,Chipembi Primary School-01,411,454,47.51,52.49,865
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002005001,MOOMBE - 1,Moombe Primary School-01,268,282,48.73,51.27,550
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002005101,CHAMUKA - 1,Chamuka Primary School-01,268,340,44.08,55.92,608
CHISAMBA,CHISAMBA,000101002009,CHAMUKA,101002005201,SHELENI - 1,Luano Community School-01,177,209,45.85,54.15,386
CHISAMBA,CHISAMBA,000101002010,KAMANO,101002005301,CHALAMPA - 1,Chalampa Primary School-01,123,114,51.90,48.10,237
CHISAMBA,CHISAMBA,000101002010,KAMANO,101002005401,KAMANO - 1,Kamano Primary School-01,218,254,46.19,53.81,472
CHISAMBA,CHISAMBA,000101002010,KAMANO,101002005501,KALANGWA - 1,Kalangwa Primary School-01,293,277,51.40,48.60,570
