Polling District
 
Polling Station
 
Male
 
Female
 
% Male
 
% Female  Voters
 

 
Ward : 000107001001 , CHINKUNDU
107001000101	CHIWELE - 1	Chiwele Primary School-01	311	409	43.19	56.81	720
107001000201	MWENSO - 1	Mwenso Community School-01	279	400	41.09	58.91	679
107001000301	CHINKUNDU - 1	Bukotelo Primary School-01	350	452	43.64	56.36	802
107001000302	CHINKUNDU - 2	Bukotelo Primary School-02	344	458	42.89	57.11	802
Totals for Ward :	Polling Districts :	4	1,284	1,719	42.76	57.24	3,003
Ward : 000107001002 , KANAMA
107001000401	LUBONDO - 1	Chinkundu Primary School-01	175	267	39.59	60.41	442
107001000501	KANAMA - 1	Kanama Primary School-01	187	336	35.76	64.24	523
107001000502	KANAMA - 2	Kanama Primary School-02	203	320	38.81	61.19	523
107001000601	KABANGWE - 1	Kabangwe Community School-01	280	418	40.11	59.89	698
Totals for Ward :	Polling Districts :	4	845	1,341	38.66	61.34	2,186
Ward : 000107001003 , MUBEMBA
107001000701	MUBEMBA - 1	Mwanakasabi Primary School-01	296	439	40.27	59.73	735
107001000702	MUBEMBA - 2	Mwanakasabi Primary School-02	324	411	44.08	55.92	735
107001000801	MULEKA - 1	Muleka Community School-01	130	172	43.05	56.95	302
Totals for Ward :	Polling Districts :	3	750	1,022	42.33	57.67	1,772
Ward : 000107001004 , KAWENA
107001000901	CHITEBO - 1	Chitebo Primary School-01	338	507	40.00	60.00	845
107001001001	KAWENA - 1	Chinungwe Primary School-01	278	379	42.31	57.69	657
107001001002	KAWENA - 2	Chinungwe Primary School-02	258	398	39.33	60.67	656
107001001101	CHIKWABA - 1	Chipelembe Primary School-01	103	148	41.04	58.96	251
Totals for Ward :	Polling Districts :	4	977	1,432	40.56	59.44	2,409
Ward : 000107001005 , NGUNI
107001001201	CHILAMBA - 1	Chilamba Primary School-01	347	468	42.58	57.42	815
107001001301	YUSUFU MWANSA - 1	Ng`uni Primary School-01	196	297	39.76	60.24	493
Totals for Ward :	Polling Districts :	2	543	765	41.51	58.49	1,308
Ward : 000107001006 , KAPOKA
