Polling District
 
Polling Station
 
Male
 
Female
 
% Male
 
% Female  Voters
 

 

Ward : 000101004003 , KAANZWA
101004000801	MUTENDA - 1	Mulilabanyama Primary School-01	371	367	50.27	49.73	738
101004000802	MUTENDA - 2	Mulilabanyama Primary School-02	355	383	48.10	51.90	738
101004000803	MUTENDA - 3	Mulilabanyama Primary School-03	364	374	49.32	50.68	738
101004000901	KAPULWE - 1	Kapulwe Primary School-01	284	308	47.97	52.03	592
101004001001	MASASABI - 1	Masasabi Primary School-01	413	407	50.37	49.63	820
101004001101	KAANZWA - 1	Kaanzwa Primary School-01	242	274	46.90	53.10	516
101004001102	KAANZWA - 2	Kaanzwa Primary School-02	250	265	48.54	51.46	515
101004001201	NKOBO - 1	Nkobo Primary School-01	329	359	47.82	52.18	688
Totals for Ward :	Polling Districts :	8	2,608	2,737	48.79	51.21	5,345
Ward : 000101004004 , MASEMU
101004001301	KALUNDU - 1	Kalundu Primary School-01	418	536	43.82	56.18	954
101004001401	LILANDA - 1	Nakabangwe Primary School-01	376	522	41.87	58.13	898
101004001402	LILANDA - 2	Nakabangwe Primary School-02	383	515	42.65	57.35	898
101004001403	LILANDA - 3	Nakabangwe Primary School-03	340	557	37.90	62.10	897
101004001501	MASEMU - 1	Itezhitezhi Primary School-01	412	473	46.55	53.45	885
101004001502	MASEMU - 2	Itezhitezhi Primary School-02	407	478	45.99	54.01	885
101004001503	MASEMU - 3	Itezhitezhi Primary School-03	426	459	48.14	51.86	885
101004001504	MASEMU - 4	Itezhitezhi Primary School-04	399	486	45.08	54.92	885
101004001505	MASEMU - 5	Itezhitezhi Primary School-05	390	495	44.07	55.93	885
101004001506	MASEMU - 6	Itezhitezhi Primary School-06	399	486	45.08	54.92	885
101004001507	MASEMU - 7	Itezhitezhi Primary School-07	390	494	44.12	55.88	884
101004001508	MASEMU - 8	Itezhitezhi Primary School-08	443	441	50.11	49.89	884
Totals for Ward :	Polling Districts :	12	4,783	5,942	44.60	55.40	10,725
Ward : 000101004005 , BABIZHI
101004001601	BUUNGA - 1	Shimbuwamboomboo Secondary School-01	387	390	49.81	50.19	777
101004001701	BABIZHI - 1	Babizhi Primary School-01	380	394	49.10	50.90	774
101004001801	BATUNGA - 1	Batunga Primary School-01	441	432	50.52	49.48	873
Totals for Ward :	Polling Districts :	3	1,208	1,216	49.83	50.17	2,424
Ward : 000101004006 , LUBANDA
101004001901	LUBANDA - 1	Lubanda Primary School-01	245	299	45.04	54.96	544
101004001902	LUBANDA - 2	Lubanda Primary School-02	242	301	44.57	55.43	543
101004002001	KAPILI MALENJE - 1	Kapili Malenje Primary School-01	444	450	49.66	50.34	894
101004002101	BAANGA - 1	Baanga Primary School-01	383	420	47.70	52.30	803
Totals for Ward :	Polling Districts :	4	1,314	1,470	47.20	52.80	2,784
Ward : 000101004007 , BANAMWAZE
101004002201	NAMIYANDA - 1	Namiyanda Community School-01	221	199	52.62	47.38	420
101004002301	KABANGA - 1	Kabanga Primary School-01	175	211	45.34	54.66	386
101004002401	BANAMWAZE - 1	Banamwaze Primary School-01	442	466	48.68	51.32	908
101004002501	KASAKA - 1	Kasaka Primary School-01	255	281	47.57	52.43	536
101004002601	MPOMBO - 1	Mpombo Primary School-01	330	339	49.33	50.67	669
Totals for Ward :	Polling Districts :	5	1,423	1,496	48.75	51.25	2,919
Ward : 000101004008 , MAKUNKU
101004002701	NG'ANZO - 1	Ng'anzo Primary School-01	163	162	50.15	49.85	325
 

	Polling District	Polling Station	Male	Female	% Male	% Female	Voters
101004002801	IFUMBWE - 1	Ifumbwe Primary School-01	233	273	46.05	53.95	506
101004002901	MAKUNKU - 1	Nansenga Primary School-01	239	313	43.30	56.70	552
101004002902	MAKUNKU - 2	Nansenga Primary School-02	279	273	50.54	49.46	552
101004003001	MAULUZHI - 1	Mauluzhi Primary School-01	236	273	46.37	53.63	509
Totals for Ward :	Polling Districts :	5	1,150	1,294	47.05	52.95	2,444
Ward : 000101004009 , NYAMBO
101004003101	MUUNGA - 1	Muunga Primary School-01	239	305	43.93	56.07	544
101004003102	MUUNGA - 2	Muunga Primary School-02	259	285	47.61	52.39	544
