Level	Name	Total Registered Voters
PROVINCE	CENTRAL	143 635
DISTRICT	CHIBOMBO	143 635
CONSTITUENCY	KATUBA	76 099
WARD	KAMAILA	4 242
POLLING STATION	Chimpetu Community School-01	482
POLLING STATION	Kamaila Primary School-01	796
POLLING STATION	Kamaila Primary School-02	795
POLLING STATION	Mayota Community School-01	378
POLLING STATION	Kapila Primary School-01	896
POLLING STATION	Kapila Primary School-02	895
WARD	KATUBA	12 838
POLLING STATION	Lubobo SDA Church-01	665
POLLING STATION	Lubobo SDA Church-02	665
POLLING STATION	Chombela Primary School-01	942
POLLING STATION	Chombela Primary School-02	941
POLLING STATION	Nazarene Church-01	812
POLLING STATION	Muwanjuni Primary School-01	980
POLLING STATION	Muwanjuni Primary School-02	980
POLLING STATION	Muwanjuni Primary School-03	979
POLLING STATION	Muwanjuni Primary School-04	979
POLLING STATION	Muwanjuni Primary School-05	979
POLLING STATION	Muwanjuni Primary School-06	979
POLLING STATION	Muwanjuni Primary School-07	979
POLLING STATION	Muwanjuni Primary School-08	979
POLLING STATION	Muwanjuni Primary School-09	979
WARD	CHUNGA	24 279
POLLING STATION	Zamseed Farm Ltd-01	658
POLLING STATION	Shifwankula Primary School-01	958
POLLING STATION	Shifwankula Primary School-02	958
POLLING STATION	Shifwankula Primary School-03	958
POLLING STATION	Shifwankula Primary School-04	958
POLLING STATION	Shifwankula Primary School-05	958
POLLING STATION	Shifwankula Primary School-06	957
POLLING STATION	Shifwankula Primary School-07	957
POLLING STATION	North Park School-01	975
POLLING STATION	North Park School-02	975
POLLING STATION	North Park School-03	975
POLLING STATION	North Park School-04	975
POLLING STATION	North Park School-05	974
POLLING STATION	North Park School-06	974
POLLING STATION	North Park School-07	974
POLLING STATION	North Park School-08	974
POLLING STATION	North Park School-09	974
POLLING STATION	North Park School-10	974
POLLING STATION	North Park School-11	974
POLLING STATION	Kingston Primary School-01	716
POLLING STATION	Kingston Primary School-02	716
POLLING STATION	Kingston Primary School-03	715
POLLING STATION	Sunshine Community School-01	529
POLLING STATION	Sunshine Community School-02	529
POLLING STATION	Nalunyanda Clinic-01	773
POLLING STATION	Nalunyanda Clinic-02	773
POLLING STATION	Nalunyanda Clinic-03	773
POLLING STATION	Chunga Irrigation Scheme-01	675
WARD	MUNGULE	12 365
POLLING STATION	Kapopo Primary School-01	710
POLLING STATION	Kapopo Primary School-02	709
POLLING STATION	Katete Primary School-01	925
POLLING STATION	Mutakwa Primary School-01	993
POLLING STATION	Mutakwa Primary School-02	993
POLLING STATION	Duzai Community School-01	650
POLLING STATION	Duzai Community School-02	650
POLLING STATION	Moomba Primary School-01	862
POLLING STATION	Moomba Primary School-02	862
POLLING STATION	Moomba Primary School-03	862
POLLING STATION	Kayosha Primary School-01	830
POLLING STATION	Kayosha Primary School-02	830
POLLING STATION	Kayosha Primary School-03	830
POLLING STATION	Kayosha Primary School-04	830
