WESTERN PROVINCE — HIERARCHICAL VOTER LIST
===========================================
Format: Level | Name | Total Voters
===========================================

PROVINCE: WESTERN

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 001: KALABO | 40,879
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 138: KALABO CENTRAL | 26,276
    Ward 001: MUCHATANGA        | 3,626
    Ward 002: LUANGINGA         | 3,162
    Ward 003: MAPUNGU           | 1,894
    Ward 004: BULEYA            | 2,675
    Ward 005: NDOKA             | 2,683
    Ward 006: LUKONA            | 1,631
    Ward 007: NAMULILO          | 1,097
    Ward 008: NG'UMA            | 1,317
    Ward 009: MITWI             | 1,205
    Ward 010: KANDAMBO          | 1,133
    Ward 011: CHILELE           |   935
    Ward 012: LUTWI             | 1,114
    Ward 013: LIUMBA            | 1,757
    Ward 014: YUKA              | 2,047

  CONSTITUENCY 139: LIUWA | 14,603
    Ward 015: SALUNDA           | 1,512
    Ward 016: LUOLA             | 1,164
    Ward 017: SILUWE            | 1,171
    Ward 018: LIKULUNDUNDU      | 1,182
    Ward 019: UPANGOMA          |   417
    Ward 020: KUULI             | 1,467
    Ward 021: MISHULUNDU        | 1,383
    Ward 022: SISHEKANU         | 1,973
    Ward 023: LIBONDA           | 2,416
    Ward 024: NG'UNYAMA         | 1,918

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 002: KAOMA | 46,581
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 140: KAOMA CENTRAL | 29,600
    Ward 001: LUNYATI           | 1,745
    Ward 002: KALUMWANGE        | 2,037
    Ward 003: SHITWA            | 3,660
    Ward 004: NAMALOBA          | 2,169
    Ward 005: LONGE             | 1,595
    Ward 006: MULAMATILA        | 11,781
    Ward 007: KASHAMU           | 1,628
    Ward 008: NALIELE           | 3,163
    Ward 009: SHILOMBO          | 1,822

  CONSTITUENCY 141: MANGANGO | 16,981
    Ward 010: SHIKOMBWE         | 2,478
    Ward 011: MANGANGO          | 4,286
    Ward 012: MUSHWALA          | 1,171
    Ward 013: KAPILI            | 2,113
    Ward 014: LUAMBUWA          | 1,598
    Ward 015: NALULEMBWE        | 1,018
    Ward 016: NAMAFULO          | 1,518
    Ward 017: LUKUTE            | 1,595
    Ward 018: WINDA             | 1,204

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 003: LIMULUNGA | 22,355
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 142: LUENA | 22,355
    Ward 001: LIMULUNGA WEST    | 3,091
    Ward 002: MAKUKU            | 1,192
    Ward 003: MABILI            | 1,783
    Ward 004: USHAA             | 1,509
    Ward 005: IKWICHI           | 1,509
    Ward 006: LIMULUNGA EAST    | 3,006
    Ward 007: NAMBOMA           | 1,371
    Ward 008: MIULWE            | 1,249
    Ward 009: NANGULA           | 1,412
    Ward 010: SITOYA            | 1,501
    Ward 011: SIMAA             | 1,591
    Ward 012: NDANDA            | 1,706
    Ward 013: ITUKU             | 1,435

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 004: LUAMPA | 21,669
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 143: LUAMPA | 21,669
    Ward 001: LUBUBA            | 1,507
    Ward 002: LUI               | 1,787
